title,imdbRating,ratingCount,duration,year,nrOfWins,nrOfNominations,nrOfPhotos,nrOfNewsArticles,nrOfUserReviews,nrOfGenre
The stranger on the train,8.1,69387,5520,1951,1,1,42,326,245,3
Twelve o&#39;clock in the afternoon,8.2,60817,5100,1952,12,10,48,361,309,2
Ikiru - Live right once,8.4,29478,8580,1952,5,0,13,57,136,1
You should be my lucky star,8.4,108115,6180,1952,4,7,61,333,441,3
A heart and a crown,8.1,69739,7080,1953,7,14,50,136,193,3
Stalag 17,8.1,36013,6960,1953,1,4,23,67,130,3
The devilish,8.3,29309,6840,1955,4,0,20,77,135,3
On call murder,8.2,72579,6300,1954,3,2,51,232,223,2
The fist in the neck,8.3,74023,6480,1954,21,7,45,352,255,2
The window to the yard,8.6,229323,6720,1954,6,6,98,711,580,2
The seven samurai,8.8,172690,12420,1954,4,5,33,576,548,2
The song of the street,8.2,35143,6480,1954,10,4,25,108,108,1
The night of the hunter,8.1,47739,5580,1955,1,0,42,152,322,3
Killing,8.1,47740,5100,1956,0,0,21,59,304,3
The twelve jurors,8.9,293725,5760,1957,16,6,31,68,726,1
The bridge on the Kwai,8.3,109972,9660,1957,24,5,59,160,243,3
Ways to glory,8.5,84945,5280,1957,3,2,26,208,313,2
The seventh seal,8.3,80684,5760,1957,7,1,28,193,236,2
Wild strawberries,8.3,45457,5460,1957,12,2,29,107,130,1
Witness of the indictment,8.5,40385,6960,1957,3,8,23,32,172,3
In the sign of evil,8.2,55474,5700,1958,3,1,28,211,245,3
Vertigo - From the realm of the dead,8.5,176267,7680,1958,6,3,106,671,618,3
Ben Hur,8.2,115402,12720,1959,20,5,79,193,340,2
the invisible third,8.5,166029,8160,1959,7,4,85,644,466,3
They kissed and they beat him,8.2,49996,5940,1959,6,3,36,178,159,2
Some like it hot,8.4,129721,7200,1959,12,8,96,546,329,1
Das Apartment,8.4,77601,7500,1960,18,8,36,211,221,3
The sweet life,8.1,35788,10440,1960,8,12,51,350,149,2
Psycho,8.6,296676,6540,1960,6,5,156,2059,885,3
Sharks of the big city,8.1,47138,8040,1961,15,14,29,130,145,2
The judgment of Nuremberg,8.3,28790,11160,1961,17,21,30,98,156,3
The bodyguard,8.4,53475,6600,1961,4,1,23,144,139,2
Lawrence of Arabia,8.4,140727,12960,1962,20,13,91,929,509,3
Who disturbs the nightingale,8.4,154978,7740,1962,12,12,49,524,407,3
eight and a Half,8.2,58426,8280,1963,14,8,41,22,202,2
Sprinkled Ketten,8.3,120161,10320,1963,4,4,164,309,285,3
For a few dollars,8.1,92532,5940,1964,1,1,71,206,215,1
Battle of Algiers,8.2,25876,7260,1966,9,3,11,129,236,3
For a few dollars more,8.4,104305,7920,1965,0,0,56,102,201,1
Two glorious scoundrels,9,354997,9660,1966,1,0,189,11,684,2
Person,8.2,40639,5100,1966,8,1,21,92,149,1
Who is afraid of Virginia Woolf?,8.2,41330,7860,1966,20,18,72,10,213,1
The indomitable,8.2,90643,7560,1967,5,6,42,229,249,2
The maturity exam,8.1,161502,6360,1967,20,13,94,329,573,3
2001: Odyssey in space,8.3,295641,9600,1968,12,6,174,28,1568,3
Butch Cassidy und Sundance Kid,8.2,111087,6600,1969,18,12,51,508,281,3
Once Upon a Time in the West,8.7,158065,10500,1968,5,4,61,277,518,1
Clockwork Orange,8.4,386962,8160,1971,11,13,80,1076,1250,3
The Godfather,9.2,821410,10500,1972,29,19,148,1307,1751,2
The clou,8.4,127640,7740,1973,10,6,67,275,224,3
Chinatown,8.3,159935,7800,1974,20,22,73,547,412,3
The godfather 2,9.1,541351,12000,1974,11,16,73,197,565,2
The knights of the coconut,8.4,284563,5460,1975,0,0,48,260,613,3
Barry Lyndon,8.1,74677,11040,1975,15,11,34,253,341,1
Hundstage,8.1,137696,7500,1975,13,17,35,438,228,2
The White shark,8.1,290528,7440,1975,9,14,95,1497,880,3
One flew over the cuckoo&#39;s nest,8.8,492141,7980,1975,30,12,59,397,675,1
Network,8.2,75434,7260,1976,22,19,49,366,295,1
Rocky,8.1,243942,7140,1976,17,20,105,1161,479,2
Taxi Driver,8.4,351181,6780,1976,26,9,80,1830,768,2
The city neurotic,8.2,138617,5580,1977,26,7,41,37,408,2
war of stars,8.7,631839,7260,1977,35,26,190,23660,1325,3
Those who go through hell,8.2,174642,10920,1978,21,17,39,488,949,2
Alien - The eerie creature from a strange world,8.5,391737,7020,1979,12,18,126,5671,991,2
Apocalypse Now,8.5,333178,9180,1979,17,30,76,1356,896,2
The life of Brian,8.2,198548,5640,1979,0,0,46,275,298,1
Stalker,8.2,47589,9780,1979,2,1,15,34,253,2
The elephant man,8.3,120156,7440,1980,10,13,36,242,325,2
The Empire Strikes Back,8.8,563252,7440,1980,12,16,105,1774,764,3
Like a wild bull,8.3,172854,7740,1980,26,19,51,1478,454,3
Shining,8.5,418163,8640,1980,2,5,16,1528,1208,1
The boat,8.5,127022,8940,1981,13,5,94,67,397,3
Hunter of the lost treasure,8.6,473742,6900,1981,25,22,69,2004,691,2
The Blade Runner,8.3,350268,7020,1982,10,15,104,4395,1072,3
Fanny and Alexander,8.2,30266,11280,1982,20,7,20,99,91,1
Gandhi,8.1,121887,11460,1982,30,16,108,304,222,3
The thing from another world,8.2,188733,6540,1982,0,0,40,1702,849,3
Merry Christmas,8.1,85811,5640,1983,3,11,27,621,431,2
Return of the Jedi,8.4,445123,8040,1983,12,14,94,1879,558,3
Amadeus,8.4,198201,9600,1984,33,13,66,242,500,3
Nausicaä - Princess of the Valley of the Winds,8.2,60197,7020,1984,3,0,11,41,161,3
Once Upon a Time in America,8.4,159607,13740,1984,13,4,49,187,461,2
Terminator,8.1,413108,6420,1984,5,6,67,3869,602,2
Back to the Future,8.5,478445,6960,1985,13,24,78,3628,680,3
Ran,8.3,58697,9720,1985,28,18,25,106,220,3
Aliens - The return,8.5,353899,8220,1986,16,21,95,2150,998,3
Platoon,8.2,217699,7200,1986,22,10,47,467,476,3
Stand by Me - The secret of a summer,8.2,198139,5340,1986,3,10,60,903,536,2
The castle in the sky,8.1,61387,7440,1986,1,0,20,132,152,3
Full Metal Jacket,8.4,334586,6960,1987,7,7,53,621,621,2
The bride of the prince,8.2,222749,5880,1987,5,8,71,958,662,3
Die Hard,8.3,431906,7860,1988,6,2,63,2360,667,2
The last fireflies,8.5,85046,5340,1988,3,0,16,156,436,3
Paradise cinema,8.5,103093,9300,1988,19,22,60,215,357,1
My neighbor Totoro,8.3,101445,5160,1988,5,1,39,330,273,3
Indiana Jones and the last crusade,8.3,364585,7620,1989,4,19,66,362,440,2
GoodFellas - Three decades in the mafia,8.8,515242,8760,1990,40,23,68,1504,883,3
Beauty and the Beast,8.1,208331,5040,1991,21,19,81,3057,310,3
The silence of the Lambs,8.6,584102,7080,1991,44,30,80,1076,798,3
Terminator 2 - Day of Billing,8.5,523543,8220,1991,20,19,71,855,869,3
Reservoir Dogs - Wild Dogs,8.4,454684,5940,1992,11,9,72,1603,855,2
relentless,8.3,205938,7860,1992,40,20,67,568,453,1
... and every day the marmot greets,8.1,309177,6060,1993,6,7,55,1237,542,3
In the name of the father,8.2,74591,7980,1993,9,15,25,318,139,3
Schindlers List,8.9,599579,11700,1993,70,25,52,857,1095,3
Forrest Gump,8.8,799314,8520,1994,38,46,56,1908,1133,2
The Lion King,8.5,408078,5340,1994,25,22,111,2908,542,3
Léon - The Professional,8.6,501117,6600,1994,3,8,58,1194,754,3
Pulp Fiction,9,911042,9240,1994,62,46,87,3824,1818,3
The convicts,9.3,1183395,8520,1994,15,15,66,1913,3046,2
Three colors - red,8.1,47730,5940,1994,18,15,31,29,116,3
Before Sunrise - stopover in Vienna,8.1,119333,6300,1995,1,2,18,763,351,2
Braveheart,8.4,523797,10620,1995,19,20,89,975,1008,3
Casino,8.2,236730,10680,1995,3,7,69,550,498,3
hate,8.1,72274,5880,1995,8,12,32,70,154,1
Heat,8.3,324264,10200,1995,0,0,64,1030,841,3
seven,8.7,691425,7620,1995,25,18,58,1953,977,3
Toy Story,8.3,410650,4860,1995,19,13,121,5068,311,3
12 Monkeys,8.1,342200,7740,1995,10,8,47,335,498,3
Underground,8.2,30610,10200,1995,6,6,10,38,118,3
The usual suspects,8.7,523742,6360,1995,29,7,53,1212,1110,3
Fargo - Bloody snow,8.2,310335,5880,1996,60,32,30,815,752,3
Trainspotting - New Heroes,8.2,343921,5640,1996,19,15,71,1343,482,2
In the Mood for Love - The Sound of Love,8.1,55016,5880,2000,35,27,28,154,293,2
The Big Lebowski,8.2,380503,7020,1998,1,9,73,1394,972,2
Life is Beautiful,8.6,266261,6960,1997,56,31,56,98,972,3
Good Will Hunting - The Good Will Hunting,8.2,414269,7560,1997,18,37,73,1462,611,1
L.A. Confidential,8.3,319796,8280,1997,78,48,59,82,591,3
Princess Mononoke,8.5,150101,8040,1997,11,5,49,297,516,3
Die Truman Show,8,455656,6180,1998,32,37,113,702,789,3
American History X,8.6,550302,7140,1998,3,9,42,472,1344,2
The Green Mile,8.5,499240,11340,1999,15,23,45,808,1290,3
Jack Lady King GrAS,8.2,304448,6420,1998,13,7,92,96,509,2
The Lord of the Rings - The Companions,8.9,871819,10680,2001,82,90,220,801,4928,3
There Soldier James Ryan,8.6,600405,10140,1998,58,56,129,1841,2191,3
Matrix,8.7,841150,8160,1999,29,36,123,1931,3470,2
Fight Club,8.9,900388,8340,1999,5,13,215,2613,2676,1
The party,8.2,52322,6300,1998,28,16,23,151,249,1
The Lord of the Rings - The Return of the King,8.9,845383,12060,2003,122,74,230,1294,3049,3
The Lord of the Rings - The Two Towers,8.8,760587,10740,2002,76,83,164,527,2381,3
Sixth Sense,8.2,516468,6420,1999,32,37,50,1500,2019,3
Lagaan: Once Upon a Time in India,8.3,33481,13440,2001,44,19,19,9,228,3
American Beauty,8.5,602828,7320,1999,91,74,88,2285,2648,1
Gladiator,8.5,661296,9300,2000,51,80,197,2447,2277,3
Requiem for a Dream,8.4,413539,6120,2000,27,36,134,918,1842,1
The Monster AG,8.1,374409,5520,2001,14,31,154,104,546,3
Snatch - pigs and diamonds,8.4,432193,6240,2000,4,5,132,902,696,2
Memento,8.6,605480,6780,2000,47,34,72,1748,1976,2
The fabulous world of the Amelie,8.5,380600,7320,2001,54,50,57,359,1255,2
Spirited Away,8.6,273502,7500,2001,35,19,33,621,788,3
Loves dogs,8.2,130465,9240,2000,56,15,24,308,346,2
Donnie Darko,8.1,430315,6780,2001,11,12,58,1329,2031,3
The pianist,8.5,331248,9000,2002,49,47,74,700,718,3
Find Nemo,8.2,451631,6000,2003,37,37,92,2563,804,3
Kill Bill: Vol. 1,8.2,509895,6660,2003,16,43,97,3019,2044,2
A Beautiful Mind - genius and madness,8.2,389925,8100,2001,28,51,85,1192,1123,2
City of God,8.7,386540,7800,2002,57,26,27,528,681,2
pirates of the Caribbean,8.1,572501,8580,2003,28,71,125,429,2072,3
Forget Me Not,8.4,475849,6480,2004,46,54,52,1324,1448,3
Infernal Affairs - The Eighth Hell,8.2,68704,6060,2002,23,20,15,358,171,3
The walking castle,8.2,136207,7140,2004,9,14,35,153,298,3
Salinui chueok,8.1,39252,7800,2003,14,2,5,181,107,3
Inglourious Basterds,8.3,561706,9180,2009,76,63,394,7896,1391,3
The downfall,8.3,184234,9360,2004,18,17,16,432,532,3
Oldboy,8.4,245394,7200,2003,18,11,19,121,742,3
Batman Begins,8.3,659591,8400,2005,9,44,202,6136,2607,3
Before Sunset,8.1,113580,4800,2004,8,12,34,719,467,2
Rwanda Hotel,8.2,195628,7260,2004,14,34,27,461,582,3
Butterfly and diving bell,8.1,75965,6720,2007,56,41,33,337,167,2
Sin City,8.2,491210,7440,2005,21,29,212,5239,1677,2
The Lives of Others,8.5,185524,8220,2006,66,25,25,402,371,2
Million Dollar Baby,8.1,334315,7920,2004,58,34,48,1457,1068,2
Rang De Basanti,8.6,36778,9420,2006,16,18,3,335,294,2
Departed - Among enemies,8.5,598844,9060,2006,64,63,83,3043,1954,3
V for Vendetta,8.2,557042,7920,2005,4,17,70,1459,1980,3
Toy Story 3,8.5,356405,6180,2010,36,44,97,5842,657,3
The Bourne Ultimatum,8.1,350787,6900,2007,17,27,82,1639,790,3
Pans Labyrinth,8.3,339845,7080,2006,76,63,50,81,1025,3
The Dark Knight,9,1148515,9120,2008,94,69,107,17229,3930,3
There Will Be Blood,8.1,272992,9480,2007,74,58,65,2075,1053,1
No Country for Old Men,8.2,434032,7320,2007,110,51,61,3101,1416,3
Prestige - The masters of magic,8.5,555345,7800,2006,4,17,57,796,1011,3
Into the Wild,8.2,292747,8880,2007,18,43,67,880,683,3
Star Trek,8.1,401744,7620,2009,19,47,201,15161,1499,3
Marvel's The Avengers,8.2,638083,8580,2012,22,55,324,21466,1550,2
How to Train Your Dragon,8.2,285643,5880,2010,19,32,51,3545,414,3
WALL · E - The last one cleans up the earth,8.5,476415,5880,2008,52,49,71,751,966,3
Black Swan,8.1,413273,6480,2010,57,125,119,10527,1057,3
Taare zameen par,8.6,48238,9900,2007,13,15,2,325,261,1
The Wolf of Wall Street,8.4,285401,10800,2013,17,62,73,3597,779,3
Slumdog millionaire,8.1,470400,7200,2008,114,62,27,6741,972,3
Hachiko - A wonderful friendship,8.2,76285,5580,2009,0,0,9,30,239,2
Above,8.3,425870,5760,2009,53,37,68,2379,644,3
Shutter Island,8.1,495936,8280,2010,4,27,56,3907,884,3
The Hobbit: The Desolation of Smaug,8.1,239935,9660,2013,3,40,89,3179,777,2
3 Idiots,8.5,103975,10200,2009,20,13,20,10,267,3
Harry Potter and the Deathly Hallows - Part 2,8.1,346862,7800,2011,33,49,217,2708,754,3
Gran Torino,8.2,405722,6960,2008,20,8,62,1349,815,1
Ip Man,8.1,101486,6360,2008,12,10,13,406,129,3
The woman who sings - incendies,8.2,45292,8340,2010,36,10,16,558,118,3
Warrior,8.3,220357,8400,2011,2,10,44,1903,432,2
In her eyes,8.3,82183,7740,2009,48,34,11,514,197,3
The Dark Knight Rises,8.6,758626,9900,2012,28,64,131,22240,2576,3
Inception,8.8,942259,8880,2010,83,110,135,10101,2450,3
Prisoners,8.1,184698,9180,2013,6,15,57,1558,445,3
The Help,8.1,220355,8760,2011,46,68,67,4565,391,1
Gravity,8.1,341562,5460,2013,104,75,79,4911,1556,3
Lego,8.3,52708,6000,2014,1,0,42,1651,225,3
The King's Speech,8.1,325645,7080,2010,86,104,27,5060,592,3
Elite Troop 2 - The Enemy Now Is Another,8.1,46844,6900,2010,23,11,7,111,59,3
Pretty much best friends,8.6,286016,6720,2011,25,31,18,457,245,3
Her,8.3,98365,7560,2013,42,58,63,2297,389,3
Nader and Simin - a separation,8.5,105123,7380,2011,60,23,16,39,230,1
Django Unchained,8.5,568296,9900,2012,36,58,108,7971,1012,3
Rush - Everything for the win,8.3,142959,7380,2013,4,33,51,1573,352,3
12 Years a Slave,8.3,161237,8040,2013,131,137,88,351,455,3
The hunt,8.3,80966,6900,2012,29,37,27,220,163,1
A king in New York,7.3,4268,6600,1957,0,0,17,8,45,2
Dinner at eight,7.9,5139,6660,1933,0,0,11,15,83,2
The Miracle of Morgan's Creek,8,4798,5880,1944,3,0,5,6,64,3
The Raven,7.6,5372,5520,1943,0,0,4,14,41,3
Funny Games,7.6,32584,6480,1997,4,5,9,148,281,3
The horror house of the Dr. Rasanoff,7.8,12002,5280,1960,0,0,3,121,113,1
Picnic on Valentine&#39;s Day,7.6,20020,6900,1975,3,11,15,137,189,2
The ice cold angel,8.2,22465,6300,1967,0,0,9,20,79,3
When the gondolas wear mourning,7.4,26050,6600,1973,0,8,13,242,233,3
Napoleon vom Broadway,7.9,3874,5460,1934,1,0,11,131,50,2
Eyes of fear,7.8,17160,6060,1960,0,0,12,134,126,3
In the Heat of the Night,8,39484,6540,1967,17,12,36,183,146,3
Murder on the Orient Express,7.3,28857,7680,1974,8,16,22,176,148,1
Buster Keaton - Steamer Willis son,8,7236,4200,1928,0,0,30,0,56,3
Blue Velvet,7.8,100580,7200,1986,22,11,64,867,653,3
Death on the Nile,7.2,15392,8400,1978,4,5,29,41,92,1
The evil under the sun,7,6871,7020,1982,0,0,11,13,62,3
House of Games,7.3,14094,6120,1987,6,2,8,29,103,3
damnation,7.1,55813,7740,2009,0,0,21,288,132,3
Copykill,6.5,36160,7380,1995,2,1,24,29,122,3
The purple rivers,6.9,40832,6360,2000,1,9,23,14,161,3
Murder - Sir John intervenes!,6.4,3464,6240,1930,0,0,24,0,43,3
Mr. Deeds goes to town,8,12499,6900,1936,5,5,11,20,104,2
The Palm Beach Story,7.9,6804,5280,1942,0,0,7,15,85,2
Precious Images,7.4,442,480,1986,2,1,0,0,9,2
The petrified forest,7.7,7818,4920,1936,0,0,18,30,86,3
Boys Don't Cry,7.6,63699,7080,1999,47,27,19,509,423,2
The outsiders,7.2,45251,5460,1983,1,3,33,413,290,2
The Panic in Needle Park,7.1,8763,6600,1971,1,1,2,24,57,3
Something&#39;s going on in Hollywood,8.3,2400,4980,1928,1,0,3,12,28,2
The child,7.4,11521,6000,2005,12,12,17,32,78,3
William Shakespeares Romeo & Julia,6.9,129664,7200,1996,13,20,81,14,482,2
Pépé le Moko - In the dark of Algiers,7.7,3792,5640,1937,2,0,4,10,37,3
Life after death in Denver,6.8,19544,6900,1995,2,0,23,15,136,2
Badlands,7.9,35743,5640,1973,3,0,31,406,171,2
Goldhelm,7.8,2648,5100,1952,1,1,14,2,25,3
When the Clouds Roll by,7,530,5100,1919,0,0,0,0,6,3
The terrible truth,8,11147,5460,1937,1,5,16,77,94,2
Above the roofs of Nice,7.5,35545,6360,1955,0,5,47,207,159,3
Laura,8.2,23895,5280,1944,1,4,23,77,178,3
My husband Godfrey,8.2,13141,5640,1936,1,0,15,67,270,2
Marnie,7.2,26944,7800,1964,0,0,66,207,179,3
Manhandled,8.3,739,4500,1924,0,0,0,0,5,2
The 100 Greatest War FilmsTV Movie ,5.3,90,23100,2005,0,0,0,0,3,1
Zatôichi monogatari,7.7,2441,5760,1962,0,0,3,8,18,3
Judo saga - The legend of the great judo,6.9,2409,4740,1943,0,0,9,2,23,3
Robin Hood,6.7,166816,8400,2010,1,11,106,561,530,3
Hidalgo - 3000 miles to glory,6.6,58431,8160,2004,1,2,28,160,337,3
Apocalypto,7.8,193604,8340,2006,7,14,29,404,1022,3
The hellish journey of Poseidon,7.1,27872,7020,1972,4,13,32,231,231,2
Zatôichi to Yôjinbô,7.2,1441,4740,1970,0,0,12,4,13,3
The 36 chambers of Shaolin,7.8,8402,6900,1978,0,0,6,36,61,3
Meat and blood,6.7,10990,7560,1985,2,1,32,0,99,2
Yagyû ichizoku no inbô,7.3,1059,7800,1978,0,0,4,0,12,3
The cannons of Navarone,7.6,29407,9480,1961,4,10,48,81,122,3
The castle in the spiderweb forest,8.2,21413,6600,1957,3,1,27,98,96,2
Two orphans in a storm,8.1,3138,9120,1921,0,0,11,2,31,1
Queen Kelly,8,2305,6060,1929,1,0,12,8,17,1
coquette,7.4,1500,4560,1929,0,0,4,16,30,2
... but the meat is weak,8.1,1683,5820,1928,0,0,15,6,15,1
The attack on the Virginiapost,8.2,1347,5940,1921,2,0,5,0,15,1
A star opens,7.7,4471,6660,1937,2,7,30,14,41,1
The Last Flight,7.9,1066,4560,1931,0,0,0,0,22,1
Viridiana,8.2,12404,5400,1961,1,0,9,18,48,1
The lost weekend,8.1,19966,6060,1945,11,3,16,85,126,1
The beautiful Karl,8.1,1136,4620,1932,0,0,0,0,15,1
The Magic of FelliniTV Movie ,6.1,258,3360,2002,0,0,2,0,4,1
Golden poison,8.1,17520,5820,1947,1,0,20,68,137,3
A girl with speed,8.2,1701,4680,1928,0,0,0,0,18,3
mortal sin,7.8,5934,6600,1945,0,3,11,28,112,3
Niagara,7.1,8741,5520,1953,0,0,43,29,98,3
You still live 105 minutes,7.5,5734,5340,1948,0,2,4,0,78,3
Act of Violence,7.5,2370,4920,1948,0,0,2,13,46,3
Danger in Frisco,7.8,2860,5640,1949,0,0,3,0,36,3
One day like any other,7.6,5567,6720,1955,3,0,11,10,55,3
The eerie window,7.5,1750,4380,1949,1,2,0,0,49,3
Unrestrained love,7.2,2333,6480,1947,0,0,9,17,59,3
Your destiny in my hand,8.2,15654,5760,1957,2,2,23,170,104,2
Gilda,7.8,15960,6600,1946,1,0,58,61,134,3
Hannah and her sisters,8,41610,6180,1986,26,20,46,369,156,2
The tiger of New York,6.8,12163,4020,1955,1,0,10,25,92,3
Sabrina,7.8,33551,6780,1954,6,7,159,2,133,3
In the shadow of doubt,8,37111,6480,1943,1,2,37,209,211,1
I confess,7.3,11279,5700,1953,0,0,20,22,90,2
The scar hand,7.6,4787,4860,1942,0,0,9,11,64,3
Under secret order,7.3,4124,5760,1950,2,3,7,29,69,3
Rififi,8.2,14719,7320,1955,5,1,13,35,94,3
The rat of Soho,8,6194,6060,1950,0,0,2,23,68,3
Gangster in Key Largo,7.9,23298,6000,1948,0,1,63,58,134,3
Crime and other trifles,8.1,34554,6240,1989,13,17,23,123,151,2
There is nothing sacred to them,7.6,3754,4620,1937,0,0,23,19,62,3
His Girl Friday - His girl for special cases,8.1,34101,5520,1940,1,0,57,155,208,3
Who Do You Think You're Fooling?,5.3,189,660,1994,0,0,0,0,6,3
Doubt,7.5,80912,6240,2008,19,44,73,1192,302,2
The white band - A German children&#39;s story,7.8,41551,8640,2009,50,25,40,993,177,2
Everything about Elly,8.2,14680,7140,2009,13,8,5,15,29,2
The room of my son,7.4,12459,5940,2001,11,25,14,33,82,1
Breakfast at Tiffany&#39;s,7.8,90979,6900,1961,13,8,97,410,315,3
Spider,6.9,25733,5880,2002,12,22,69,172,205,1
Shock Corridor,7.6,6164,6060,1963,2,0,10,84,51,2
They play with love,7.9,13291,8580,1960,5,6,16,48,87,2
I love you for so many years,7.6,15364,7020,2008,14,19,36,145,113,1
Eve with 3 faces,7.3,4253,5460,1957,2,1,4,22,45,2
The Phantom of Paris,7.6,972,4440,1931,0,0,0,0,10,2
Manhattan,8,83078,5760,1979,19,14,43,35,216,3
Anatomy of a murder,8.1,35135,9600,1959,9,11,28,129,176,3
The Bachelor Father,7.8,818,5400,1931,0,0,0,0,10,3
Ice cold in Alexandria,7.9,2984,7740,1958,1,1,11,25,48,2
Destroyer,6.7,704,5940,1943,0,0,0,0,15,3
Agents die lonely,7.7,32785,9480,1968,1,2,43,142,212,3
African Queen,8,50111,6300,1951,4,6,72,152,189,3
Master &amp; Commander - To the end of the world,7.4,140094,8280,2003,22,57,106,312,671,3
The damned of war,7,27348,6780,1989,3,1,15,46,116,3
Gallipoli,7.6,24493,6600,1981,11,5,30,86,108,3
The four springs,6.5,24173,7920,2002,0,0,72,101,210,3
Colonel of Ryan&#39;s Express,7.1,8141,7020,1965,2,1,24,6,63,3
The Fakers,7.6,30580,5880,2007,6,9,23,151,116,3
The deputy,7.3,8712,7920,2002,4,8,8,5,49,3
The 120 days of Sodom,6,28383,6960,1975,0,0,15,26,343,2
The virgin source,8.1,14749,5340,1960,4,2,26,15,72,1
How do you steal a million?,7.6,11667,7380,1966,0,0,14,30,81,3
... A Father... A Son... Once Upon a Time in HollywoodTV Movie ,7.7,74,5700,2005,0,0,0,0,1,1
Fear and fright in Las Vegas,7.8,172021,7080,1998,1,1,40,667,624,1
Akira Kurosawa&#39;s dreams,7.8,15270,7140,1990,3,8,10,55,107,2
The Tree of Life,6.7,108560,8340,2011,61,50,75,3908,932,2
Interview with a Vampire - From the Chronicle of the Vampires,7.6,193094,7380,1994,19,18,47,606,383,2
Death in Venice,7.6,11098,7800,1971,18,6,16,61,100,1
The blood of a poet,7.5,3222,3300,1932,1,0,13,10,28,0
The manuscript of Zaragoza,8,2779,10920,1965,1,0,9,0,34,3
Fellini&#39;s Satyricon,6.9,9720,7680,1969,7,6,11,5,88,2
Hereafter - The life after,6.5,69425,7740,2010,4,11,44,1173,310,2
Face to face,7.7,2450,6840,1976,8,2,3,21,18,2
The silence,8,9325,5760,1963,3,1,14,15,38,1
Herbstsonate,8.2,11098,5940,1978,13,2,16,40,54,2
shame,7.9,6196,6180,1968,10,0,6,24,46,1
Light in winter,8,10304,4860,1963,1,0,13,0,54,1
Victim,8.1,10180,8520,1986,8,1,11,3,56,1
The night,7.9,8066,6900,1961,6,1,7,42,35,1
Harakiri,8.6,13453,7980,1962,8,2,15,47,140,3
The trip to Tokyo,8.3,18631,8160,1953,2,0,13,169,100,1
The conformist,8.1,12653,6660,1970,11,2,10,81,84,1
Belle de Jour - SchÃ¶ne des Tages,7.8,22439,6060,1967,5,0,26,81,97,1
twilight,7.7,99269,7740,1996,10,6,33,133,220,3
Gone Baby gone - No breeze,7.7,148683,6840,2007,23,12,55,1266,427,3
The name of the Rose,7.8,66690,7800,1986,13,5,21,76,140,3
A question of honour,7.6,145459,8280,1992,9,15,55,412,299,3
facing,7.8,139396,9120,2009,12,22,32,2708,282,3
Following,7.6,48309,4140,1998,5,4,19,577,144,3
Michael Clayton,7.3,113526,7140,2007,19,60,53,798,352,3
Insomnia - Insomnia,7.2,169766,7080,2002,1,8,47,403,620,3
Mississippi Burning - The Root of Hatred,7.8,52664,7680,1988,18,19,22,90,157,3
Exit,6.6,14,960,1985,1,4,0,0,0,2
Cell R 17,7.7,4746,5880,1947,0,0,4,18,55,3
Traveling at night,7.3,4437,5700,1940,0,0,10,5,56,3
Mrs. Doubtfire - The Prickly Nanny,6.8,124836,7500,1993,9,6,38,363,204,2
Lola runs,7.8,138695,4860,1998,28,15,56,492,691,3
True Romance,8,130834,7200,1993,1,6,39,921,424,2
The Ten Commandments,7.9,37792,13200,1956,5,7,48,281,207,3
Mutiny on the bounty,7.2,9363,10680,1962,2,6,28,30,79,3
Dangerous,7.3,7219,9420,1962,1,0,22,0,71,3
